speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
orcwar,Orange-crowned Warbler,Leiothlypis celata,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-26 20:00,1.0,47.5006381,-122.0212617,True,False,False,S69740171
haiwoo,Hairy Woodpecker,Dryobates villosus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,1.0,47.5006381,-122.0212617,True,False,False,S69740010
stejay,Steller's Jay,Cyanocitta stelleri,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,1.0,47.5006381,-122.0212617,True,False,False,S69740010
amecro,American Crow,Corvus brachyrhynchos,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,3.0,47.5006381,-122.0212617,True,False,False,S69740010
pacwre1,Pacific Wren,Troglodytes pacificus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,1.0,47.5006381,-122.0212617,True,False,False,S69740010
bewwre,Bewick's Wren,Thryomanes bewickii,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,1.0,47.5006381,-122.0212617,True,False,False,S69740010
amerob,American Robin,Turdus migratorius,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,7.0,47.5006381,-122.0212617,True,False,False,S69740010
daejun,Dark-eyed Junco,Junco hyemalis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,6.0,47.5006381,-122.0212617,True,False,False,S69740010
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,3.0,47.5006381,-122.0212617,True,False,False,S69740010
spotow,Spotted Towhee,Pipilo maculatus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,4.0,47.5006381,-122.0212617,True,False,False,S69740010
bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-05-27 16:42,1.0,47.5006381,-122.0212617,True,False,False,S69740010
cangoo,Canada Goose,Branta canadensis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,2.0,47.5006381,-122.0212617,True,False,False,S75137534
annhum,Anna's Hummingbird,Calypte anna,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
glwgul,Glaucous-winged Gull,Larus glaucescens,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,2.0,47.5006381,-122.0212617,True,False,False,S75137534
norfli,Northern Flicker,Colaptes auratus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
comrav,Common Raven,Corvus corax,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,5.0,47.5006381,-122.0212617,True,False,False,S75137534
gockin,Golden-crowned Kinglet,Regulus satrapa,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
brncre,Brown Creeper,Certhia americana,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,3.0,47.5006381,-122.0212617,True,False,False,S75137534
pacwre1,Pacific Wren,Troglodytes pacificus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,3.0,47.5006381,-122.0212617,True,False,False,S75137534
varthr,Varied Thrush,Ixoreus naevius,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,3.0,47.5006381,-122.0212617,True,False,False,S75137534
amerob,American Robin,Turdus migratorius,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,4.0,47.5006381,-122.0212617,True,False,False,S75137534
evegro,Evening Grosbeak,Coccothraustes vespertinus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
pinsis,Pine Siskin,Spinus pinus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,10.0,47.5006381,-122.0212617,True,False,False,S75137534
sonspa,Song Sparrow,Melospiza melodia,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-20 07:00,1.0,47.5006381,-122.0212617,True,False,False,S75137534
bkcchi,Black-capped Chickadee,Poecile atricapillus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 15:30,,47.5006381,-122.0212617,True,False,False,S75356773
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 15:30,,47.5006381,-122.0212617,True,False,False,S75356773
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 15:30,,47.5006381,-122.0212617,True,False,False,S75356773
annhum,Anna's Hummingbird,Calypte anna,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,1.0,47.5006381,-122.0212617,True,False,False,S75341233
amecro,American Crow,Corvus brachyrhynchos,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,16.0,47.5006381,-122.0212617,True,False,False,S75341233
rebnut,Red-breasted Nuthatch,Sitta canadensis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,3.0,47.5006381,-122.0212617,True,False,False,S75341233
brncre,Brown Creeper,Certhia americana,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,1.0,47.5006381,-122.0212617,True,False,False,S75341233
pacwre1,Pacific Wren,Troglodytes pacificus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,1.0,47.5006381,-122.0212617,True,False,False,S75341233
bewwre,Bewick's Wren,Thryomanes bewickii,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,1.0,47.5006381,-122.0212617,True,False,False,S75341233
varthr,Varied Thrush,Ixoreus naevius,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,1.0,47.5006381,-122.0212617,True,False,False,S75341233
amerob,American Robin,Turdus migratorius,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,2.0,47.5006381,-122.0212617,True,False,False,S75341233
daejun,Dark-eyed Junco,Junco hyemalis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-10-24 09:11,5.0,47.5006381,-122.0212617,True,False,False,S75341233
nopowl,Northern Pygmy-Owl,Glaucidium gnoma,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-02 11:00,2.0,47.5006381,-122.0212617,True,False,False,S77036782
perfal,Peregrine Falcon,Falco peregrinus,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-02 11:00,1.0,47.5006381,-122.0212617,True,False,False,S77036782
gryjay,Canada Jay,Perisoreus canadensis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-02 11:00,1.0,47.5006381,-122.0212617,True,False,False,S77036782
gryjay,Canada Jay,Perisoreus canadensis,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-22 11:40,1.0,47.5006381,-122.0212617,True,False,False,S77868384
comrav,Common Raven,Corvus corax,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-22 11:40,1.0,47.5006381,-122.0212617,True,False,False,S77868384
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-22 11:40,1.0,47.5006381,-122.0212617,True,False,False,S77868384
marwre,Marsh Wren,Cistothorus palustris,L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,2020-12-22 11:40,1.0,47.5006381,-122.0212617,True,False,False,S77868384
haiwoo,Hairy Woodpecker,Dryobates villosus,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,1.0,47.511828,-121.990397,True,False,False,S74297133
gryjay,Canada Jay,Perisoreus canadensis,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,7.0,47.511828,-121.990397,True,False,False,S74297133
stejay,Steller's Jay,Cyanocitta stelleri,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,2.0,47.511828,-121.990397,True,False,False,S74297133
vigswa,Violet-green Swallow,Tachycineta thalassina,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,,47.511828,-121.990397,True,False,False,S74297133
gockin,Golden-crowned Kinglet,Regulus satrapa,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,1.0,47.511828,-121.990397,True,False,False,S74297133
pacwre1,Pacific Wren,Troglodytes pacificus,L12172834,Tiger Mountain--West Tiger #3 summit,2020-10-01 11:00,2.0,47.511828,-121.990397,True,False,False,S74297133
dowwoo,Downy Woodpecker,Dryobates pubescens,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,2.0,47.511828,-121.990397,True,False,False,S76120518
comrav,Common Raven,Corvus corax,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,1.0,47.511828,-121.990397,True,False,False,S76120518
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,7.0,47.511828,-121.990397,True,False,False,S76120518
gockin,Golden-crowned Kinglet,Regulus satrapa,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,5.0,47.511828,-121.990397,True,False,False,S76120518
rebnut,Red-breasted Nuthatch,Sitta canadensis,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,2.0,47.511828,-121.990397,True,False,False,S76120518
brncre,Brown Creeper,Certhia americana,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,1.0,47.511828,-121.990397,True,False,False,S76120518
pacwre1,Pacific Wren,Troglodytes pacificus,L12172834,Tiger Mountain--West Tiger #3 summit,2020-11-11 07:30,4.0,47.511828,-121.990397,True,False,False,S76120518
