speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
dowwoo,Downy Woodpecker,Dryobates pubescens,L10128988,Berntsen Park,2019-11-06 09:45,1.0,47.538439,-122.043281,True,False,False,S61278505
norfli,Northern Flicker,Colaptes auratus,L10128988,Berntsen Park,2019-11-06 09:45,1.0,47.538439,-122.043281,True,False,False,S61278505
amecro,American Crow,Corvus brachyrhynchos,L10128988,Berntsen Park,2019-11-06 09:45,2.0,47.538439,-122.043281,True,False,False,S61278505
bkcchi,Black-capped Chickadee,Poecile atricapillus,L10128988,Berntsen Park,2019-11-06 09:45,3.0,47.538439,-122.043281,True,False,False,S61278505
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L10128988,Berntsen Park,2019-11-06 09:45,1.0,47.538439,-122.043281,True,False,False,S61278505
pacwre1,Pacific Wren,Troglodytes pacificus,L10128988,Berntsen Park,2019-11-06 09:45,1.0,47.538439,-122.043281,True,False,False,S61278505
bewwre,Bewick's Wren,Thryomanes bewickii,L10128988,Berntsen Park,2019-11-06 09:45,1.0,47.538439,-122.043281,True,False,False,S61278505
amerob,American Robin,Turdus migratorius,L10128988,Berntsen Park,2019-11-06 09:45,2.0,47.538439,-122.043281,True,False,False,S61278505
daejun,Dark-eyed Junco,Junco hyemalis,L10128988,Berntsen Park,2019-11-06 09:45,3.0,47.538439,-122.043281,True,False,False,S61278505
sonspa,Song Sparrow,Melospiza melodia,L10128988,Berntsen Park,2019-11-06 09:45,2.0,47.538439,-122.043281,True,False,False,S61278505
baleag,Bald Eagle,Haliaeetus leucocephalus,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,2.0,47.536469,-122.039342,True,False,False,S54320534
rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,3.0,47.536469,-122.039342,True,False,False,S54320534
gryjay,Canada Jay,Perisoreus canadensis,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,4.0,47.536469,-122.039342,True,False,False,S54320534
stejay,Steller's Jay,Cyanocitta stelleri,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,2.0,47.536469,-122.039342,True,False,False,S54320534
amecro,American Crow,Corvus brachyrhynchos,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,2.0,47.536469,-122.039342,True,False,False,S54320534
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,3.0,47.536469,-122.039342,True,False,False,S54320534
brncre,Brown Creeper,Certhia americana,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,1.0,47.536469,-122.039342,True,False,False,S54320534
pacwre1,Pacific Wren,Troglodytes pacificus,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,6.0,47.536469,-122.039342,True,False,False,S54320534
varthr,Varied Thrush,Ixoreus naevius,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,1.0,47.536469,-122.039342,True,False,False,S54320534
amerob,American Robin,Turdus migratorius,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,3.0,47.536469,-122.039342,True,False,False,S54320534
daejun,Dark-eyed Junco,Junco hyemalis,L10129014,"Confluence Park, Issaquah",2019-03-28 08:52,1.0,47.536469,-122.039342,True,False,False,S54320534
mallar3,Mallard,Anas platyrhynchos,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,36.0,47.536469,-122.039342,True,False,False,S61278650
glwgul,Glaucous-winged Gull,Larus glaucescens,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
grbher3,Great Blue Heron,Ardea herodias,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
amecro,American Crow,Corvus brachyrhynchos,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
bkcchi,Black-capped Chickadee,Poecile atricapillus,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,5.0,47.536469,-122.039342,True,False,False,S61278650
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
gockin,Golden-crowned Kinglet,Regulus satrapa,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,7.0,47.536469,-122.039342,True,False,False,S61278650
pacwre1,Pacific Wren,Troglodytes pacificus,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,3.0,47.536469,-122.039342,True,False,False,S61278650
bewwre,Bewick's Wren,Thryomanes bewickii,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
varthr,Varied Thrush,Ixoreus naevius,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,1.0,47.536469,-122.039342,True,False,False,S61278650
daejun,Dark-eyed Junco,Junco hyemalis,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,6.0,47.536469,-122.039342,True,False,False,S61278650
sonspa,Song Sparrow,Melospiza melodia,L10129014,"Confluence Park, Issaquah",2019-11-06 10:23,2.0,47.536469,-122.039342,True,False,False,S61278650
commer,Common Merganser,Mergus merganser,L10129014,"Confluence Park, Issaquah",2020-03-21 16:31,4.0,47.536469,-122.039342,True,False,False,S66065425
mallar3,Mallard,Anas platyrhynchos,L10129014,"Confluence Park, Issaquah",2020-10-17 10:52,7.0,47.536469,-122.039342,True,False,False,S74966568
