,speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
0,rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,L6226117,Red Town Trail Head,2020-05-29 10:30:00,1.0,47.5345885,-122.1284843,True,False,False,S69822926
1,amecro,American Crow,Corvus brachyrhynchos,L6226117,Red Town Trail Head,2020-05-29 10:30:00,2.0,47.5345885,-122.1284843,True,False,False,S69822926
2,pacwre1,Pacific Wren,Troglodytes pacificus,L6226117,Red Town Trail Head,2020-05-29 10:30:00,1.0,47.5345885,-122.1284843,True,False,False,S69822926
3,sonspa,Song Sparrow,Melospiza melodia,L6226117,Red Town Trail Head,2020-05-29 10:30:00,6.0,47.5345885,-122.1284843,True,False,False,S69822926
4,wlswar,Wilson's Warbler,Cardellina pusilla,L6226117,Red Town Trail Head,2020-05-29 10:30:00,1.0,47.5345885,-122.1284843,True,False,False,S69822926
5,haiwoo,Hairy Woodpecker,Dryobates villosus,L6226117,Red Town Trail Head,2020-05-29 08:06:00,1.0,47.5345885,-122.1284843,True,False,False,S69797089
6,pasfly,Pacific-slope Flycatcher,Empidonax difficilis,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
7,chbchi,Chestnut-backed Chickadee,Poecile rufescens,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
8,brncre,Brown Creeper,Certhia americana,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
9,swathr,Swainson's Thrush,Catharus ustulatus,L6226117,Red Town Trail Head,2020-05-29 08:06:00,1.0,47.5345885,-122.1284843,True,False,False,S69797089
10,amerob,American Robin,Turdus migratorius,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
11,cedwax,Cedar Waxwing,Bombycilla cedrorum,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
12,daejun,Dark-eyed Junco,Junco hyemalis,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
13,spotow,Spotted Towhee,Pipilo maculatus,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
14,btywar,Black-throated Gray Warbler,Setophaga nigrescens,L6226117,Red Town Trail Head,2020-05-29 08:06:00,,47.5345885,-122.1284843,True,False,False,S69797089
15,bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,L6226117,Red Town Trail Head,2020-05-29 08:06:00,1.0,47.5345885,-122.1284843,True,False,False,S69797089
0,brdowl,Barred Owl,Strix varia,L6226117,Red Town Trail Head,2020-05-31 17:30:00,1.0,47.5345885,-122.1284843,True,False,False,S70066704
0,vauswi,Vaux's Swift,Chaetura vauxi,L6226117,Red Town Trail Head,2020-06-17 14:43:00,3.0,47.5345885,-122.1284843,True,False,False,S70554127
1,haiwoo,Hairy Woodpecker,Dryobates villosus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
2,wewpew,Western Wood-Pewee,Contopus sordidulus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
3,pasfly,Pacific-slope Flycatcher,Empidonax difficilis,L6226117,Red Town Trail Head,2020-06-17 14:43:00,8.0,47.5345885,-122.1284843,True,False,False,S70554127
4,casvir,Cassin's Vireo,Vireo cassinii,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
5,warvir,Warbling Vireo,Vireo gilvus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,8.0,47.5345885,-122.1284843,True,False,False,S70554127
6,comrav,Common Raven,Corvus corax,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
7,bkcchi,Black-capped Chickadee,Poecile atricapillus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
8,vigswa,Violet-green Swallow,Tachycineta thalassina,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
9,barswa,Barn Swallow,Hirundo rustica,L6226117,Red Town Trail Head,2020-06-17 14:43:00,2.0,47.5345885,-122.1284843,True,False,False,S70554127
10,gockin,Golden-crowned Kinglet,Regulus satrapa,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
11,rebnut,Red-breasted Nuthatch,Sitta canadensis,L6226117,Red Town Trail Head,2020-06-17 14:43:00,3.0,47.5345885,-122.1284843,True,False,False,S70554127
12,brncre,Brown Creeper,Certhia americana,L6226117,Red Town Trail Head,2020-06-17 14:43:00,4.0,47.5345885,-122.1284843,True,False,False,S70554127
13,pacwre1,Pacific Wren,Troglodytes pacificus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,7.0,47.5345885,-122.1284843,True,False,False,S70554127
14,swathr,Swainson's Thrush,Catharus ustulatus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,6.0,47.5345885,-122.1284843,True,False,False,S70554127
15,amerob,American Robin,Turdus migratorius,L6226117,Red Town Trail Head,2020-06-17 14:43:00,6.0,47.5345885,-122.1284843,True,False,False,S70554127
16,purfin,Purple Finch,Haemorhous purpureus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,2.0,47.5345885,-122.1284843,True,False,False,S70554127
17,pinsis,Pine Siskin,Spinus pinus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
18,daejun,Dark-eyed Junco,Junco hyemalis,L6226117,Red Town Trail Head,2020-06-17 14:43:00,7.0,47.5345885,-122.1284843,True,False,False,S70554127
19,sonspa,Song Sparrow,Melospiza melodia,L6226117,Red Town Trail Head,2020-06-17 14:43:00,4.0,47.5345885,-122.1284843,True,False,False,S70554127
20,spotow,Spotted Towhee,Pipilo maculatus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
21,spotow,Spotted Towhee,Pipilo maculatus,L6226117,Red Town Trail Head,2020-06-17 14:43:00,3.0,47.5345885,-122.1284843,True,False,False,S70554127
22,btywar,Black-throated Gray Warbler,Setophaga nigrescens,L6226117,Red Town Trail Head,2020-06-17 14:43:00,2.0,47.5345885,-122.1284843,True,False,False,S70554127
23,towwar,Townsend's Warbler,Setophaga townsendi,L6226117,Red Town Trail Head,2020-06-17 14:43:00,1.0,47.5345885,-122.1284843,True,False,False,S70554127
24,wlswar,Wilson's Warbler,Cardellina pusilla,L6226117,Red Town Trail Head,2020-06-17 14:43:00,6.0,47.5345885,-122.1284843,True,False,False,S70554127
0,rufhum,Rufous Hummingbird,Selasphorus rufus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,4.0,47.5345885,-122.1284843,True,False,False,S70582056
1,rethaw,Red-tailed Hawk,Buteo jamaicensis,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
2,norfli,Northern Flicker,Colaptes auratus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
3,wewpew,Western Wood-Pewee,Contopus sordidulus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
4,wilfly,Willow Flycatcher,Empidonax traillii,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
5,warvir,Warbling Vireo,Vireo gilvus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
6,stejay,Steller's Jay,Cyanocitta stelleri,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
7,bkcchi,Black-capped Chickadee,Poecile atricapillus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
8,chbchi,Chestnut-backed Chickadee,Poecile rufescens,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
9,treswa,Tree Swallow,Tachycineta bicolor,L6226117,Red Town Trail Head,2020-06-18 09:08:00,4.0,47.5345885,-122.1284843,True,False,False,S70582056
10,bushti,Bushtit,Psaltriparus minimus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,10.0,47.5345885,-122.1284843,True,False,False,S70582056
11,rebnut,Red-breasted Nuthatch,Sitta canadensis,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
12,pacwre1,Pacific Wren,Troglodytes pacificus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
13,swathr,Swainson's Thrush,Catharus ustulatus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
14,amerob,American Robin,Turdus migratorius,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
15,cedwax,Cedar Waxwing,Bombycilla cedrorum,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
16,amegfi,American Goldfinch,Spinus tristis,L6226117,Red Town Trail Head,2020-06-18 09:08:00,2.0,47.5345885,-122.1284843,True,False,False,S70582056
17,sonspa,Song Sparrow,Melospiza melodia,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
18,comyel,Common Yellowthroat,Geothlypis trichas,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
19,bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus,L6226117,Red Town Trail Head,2020-06-18 09:08:00,1.0,47.5345885,-122.1284843,True,False,False,S70582056
0,rufhum,Rufous Hummingbird,Selasphorus rufus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,3.0,47.5345885,-122.1284843,True,False,False,S70764462
1,wewpew,Western Wood-Pewee,Contopus sordidulus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,2.0,47.5345885,-122.1284843,True,False,False,S70764462
2,pacwre1,Pacific Wren,Troglodytes pacificus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,1.0,47.5345885,-122.1284843,True,False,False,S70764462
3,swathr,Swainson's Thrush,Catharus ustulatus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,3.0,47.5345885,-122.1284843,True,False,False,S70764462
4,amerob,American Robin,Turdus migratorius,L6226117,Red Town Trail Head,2020-06-23 20:39:00,4.0,47.5345885,-122.1284843,True,False,False,S70764462
5,cedwax,Cedar Waxwing,Bombycilla cedrorum,L6226117,Red Town Trail Head,2020-06-23 20:39:00,1.0,47.5345885,-122.1284843,True,False,False,S70764462
6,purfin,Purple Finch,Haemorhous purpureus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,2.0,47.5345885,-122.1284843,True,False,False,S70764462
7,daejun,Dark-eyed Junco,Junco hyemalis,L6226117,Red Town Trail Head,2020-06-23 20:39:00,1.0,47.5345885,-122.1284843,True,False,False,S70764462
8,sonspa,Song Sparrow,Melospiza melodia,L6226117,Red Town Trail Head,2020-06-23 20:39:00,1.0,47.5345885,-122.1284843,True,False,False,S70764462
9,spotow,Spotted Towhee,Pipilo maculatus,L6226117,Red Town Trail Head,2020-06-23 20:39:00,1.0,47.5345885,-122.1284843,True,False,False,S70764462
