speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-01-02 15:47,3.0,47.52249,-122.028687,True,False,False,S51233769
bkcchi,Black-capped Chickadee,Poecile atricapillus,L8365620,Issaquah High School,2019-01-02 15:47,5.0,47.52249,-122.028687,True,False,False,S51233769
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L8365620,Issaquah High School,2019-01-02 15:47,1.0,47.52249,-122.028687,True,False,False,S51233769
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-01-02 15:47,7.0,47.52249,-122.028687,True,False,False,S51233769
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-01-02 14:37,2.0,47.52249,-122.028687,True,False,False,S51235925
gockin,Golden-crowned Kinglet,Regulus satrapa,L8365620,Issaquah High School,2019-01-02 14:37,8.0,47.52249,-122.028687,True,False,False,S51235925
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-01-02 14:37,8.0,47.52249,-122.028687,True,False,False,S51235925
lessca,Lesser Scaup,Aythya affinis,L8365620,Issaquah High School,2019-01-09 12:17,1.0,47.52249,-122.028687,True,False,False,S51505670
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-01-09 12:17,4.0,47.52249,-122.028687,True,False,False,S51505670
glwgul,Glaucous-winged Gull,Larus glaucescens,L8365620,Issaquah High School,2019-01-09 12:17,2.0,47.52249,-122.028687,True,False,False,S51505670
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-01-09 12:17,2.0,47.52249,-122.028687,True,False,False,S51505670
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-01-09 12:17,3.0,47.52249,-122.028687,True,False,False,S51505670
bewwre,Bewick's Wren,Thryomanes bewickii,L8365620,Issaquah High School,2019-02-28 07:44,1.0,47.52249,-122.028687,True,False,False,S53219560
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-02-28 07:44,2.0,47.52249,-122.028687,True,False,False,S53219560
sonspa,Song Sparrow,Melospiza melodia,L8365620,Issaquah High School,2019-02-28 07:44,4.0,47.52249,-122.028687,True,False,False,S53219560
baleag,Bald Eagle,Haliaeetus leucocephalus,L8365620,Issaquah High School,2019-03-12 13:41,2.0,47.52249,-122.028687,True,False,False,S53751044
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-03-12 13:41,4.0,47.52249,-122.028687,True,False,False,S53751044
bewwre,Bewick's Wren,Thryomanes bewickii,L8365620,Issaquah High School,2019-03-12 13:41,1.0,47.52249,-122.028687,True,False,False,S53751044
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-03-12 13:41,2.0,47.52249,-122.028687,True,False,False,S53751044
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-03-20 09:36,4.0,47.52249,-122.028687,True,False,False,S54052861
glwgul,Glaucous-winged Gull,Larus glaucescens,L8365620,Issaquah High School,2019-03-20 09:36,2.0,47.52249,-122.028687,True,False,False,S54052861
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-03-20 09:36,5.0,47.52249,-122.028687,True,False,False,S54052861
vigswa,Violet-green Swallow,Tachycineta thalassina,L8365620,Issaquah High School,2019-03-20 09:36,2.0,47.52249,-122.028687,True,False,False,S54052861
gockin,Golden-crowned Kinglet,Regulus satrapa,L8365620,Issaquah High School,2019-03-20 09:36,8.0,47.52249,-122.028687,True,False,False,S54052861
pacwre1,Pacific Wren,Troglodytes pacificus,L8365620,Issaquah High School,2019-03-20 09:36,1.0,47.52249,-122.028687,True,False,False,S54052861
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-03-20 09:36,1.0,47.52249,-122.028687,True,False,False,S54052861
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-03-20 09:36,3.0,47.52249,-122.028687,True,False,False,S54052861
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,L8365620,Issaquah High School,2019-03-20 09:36,2.0,47.52249,-122.028687,True,False,False,S54052861
sonspa,Song Sparrow,Melospiza melodia,L8365620,Issaquah High School,2019-03-20 09:36,1.0,47.52249,-122.028687,True,False,False,S54052861
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-03-26 15:34,1.0,47.52249,-122.028687,True,False,False,S54257717
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-03-26 15:34,1.0,47.52249,-122.028687,True,False,False,S54257717
sonspa,Song Sparrow,Melospiza melodia,L8365620,Issaquah High School,2019-03-26 15:34,1.0,47.52249,-122.028687,True,False,False,S54257717
houfin,House Finch,Haemorhous mexicanus,L8365620,Issaquah High School,2019-03-26 07:40,1.0,47.52249,-122.028687,True,False,False,S54242640
houspa,House Sparrow,Passer domesticus,L8365620,Issaquah High School,2019-03-27 14:14,2.0,47.52249,-122.028687,True,False,False,S54285249
treswa,Tree Swallow,Tachycineta bicolor,L8365620,Issaquah High School,2019-03-27 12:56,10.0,47.52249,-122.028687,True,False,False,S54282793
treswa,Tree Swallow,Tachycineta bicolor,L8365620,Issaquah High School,2019-03-28 12:41,2.0,47.52249,-122.028687,True,False,False,S54313724
vigswa,Violet-green Swallow,Tachycineta thalassina,L8365620,Issaquah High School,2019-03-28 12:41,12.0,47.52249,-122.028687,True,False,False,S54313724
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-03-28 12:41,2.0,47.52249,-122.028687,True,False,False,S54313724
sonspa,Song Sparrow,Melospiza melodia,L8365620,Issaquah High School,2019-03-28 12:41,1.0,47.52249,-122.028687,True,False,False,S54313724
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-03-28 10:26,2.0,47.52249,-122.028687,True,False,False,S54309198
treswa,Tree Swallow,Tachycineta bicolor,L8365620,Issaquah High School,2019-04-02 11:41,6.0,47.52249,-122.028687,True,False,False,S54486613
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-04-03 14:29,1.0,47.52249,-122.028687,True,False,False,S54526327
houspa,House Sparrow,Passer domesticus,L8365620,Issaquah High School,2019-04-03 14:29,2.0,47.52249,-122.028687,True,False,False,S54526327
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-04-03 14:29,2.0,47.52249,-122.028687,True,False,False,S54526327
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-04-05 06:34,2.0,47.52249,-122.028687,True,False,False,S54616955
rufhum,Rufous Hummingbird,Selasphorus rufus,L8365620,Issaquah High School,2019-04-05 06:34,2.0,47.52249,-122.028687,True,False,False,S54616955
amecro,American Crow,Corvus brachyrhynchos,L8365620,Issaquah High School,2019-04-05 06:34,6.0,47.52249,-122.028687,True,False,False,S54616955
vigswa,Violet-green Swallow,Tachycineta thalassina,L8365620,Issaquah High School,2019-04-05 06:34,8.0,47.52249,-122.028687,True,False,False,S54616955
gockin,Golden-crowned Kinglet,Regulus satrapa,L8365620,Issaquah High School,2019-04-05 06:34,1.0,47.52249,-122.028687,True,False,False,S54616955
pacwre1,Pacific Wren,Troglodytes pacificus,L8365620,Issaquah High School,2019-04-05 06:34,1.0,47.52249,-122.028687,True,False,False,S54616955
amerob,American Robin,Turdus migratorius,L8365620,Issaquah High School,2019-04-05 06:34,3.0,47.52249,-122.028687,True,False,False,S54616955
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-04-05 06:34,1.0,47.52249,-122.028687,True,False,False,S54616955
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,L8365620,Issaquah High School,2019-04-05 06:34,3.0,47.52249,-122.028687,True,False,False,S54616955
rufhum,Rufous Hummingbird,Selasphorus rufus,L8365620,Issaquah High School,2019-04-15 14:08,1.0,47.52249,-122.028687,True,False,False,S54995483
daejun,Dark-eyed Junco,Junco hyemalis,L8365620,Issaquah High School,2019-04-15 11:33,1.0,47.52249,-122.028687,True,False,False,S54990244
annhum,Anna's Hummingbird,Calypte anna,L8365620,Issaquah High School,2019-04-16 06:07,3.0,47.52249,-122.028687,True,False,False,S55046538
