speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
annhum,Anna's Hummingbird,Calypte anna,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
dowwoo,Downy Woodpecker,Dryobates pubescens,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
norfli,Northern Flicker,Colaptes auratus,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
wilfly,Willow Flycatcher,Empidonax traillii,L6226126,Clay Pit Area and Road,2019-09-04 10:45,2.0,47.5298545,-122.0962885,True,False,False,S59519290
stejay,Steller's Jay,Cyanocitta stelleri,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
bkcchi,Black-capped Chickadee,Poecile atricapillus,L6226126,Clay Pit Area and Road,2019-09-04 10:45,28.0,47.5298545,-122.0962885,True,False,False,S59519290
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L6226126,Clay Pit Area and Road,2019-09-04 10:45,20.0,47.5298545,-122.0962885,True,False,False,S59519290
gockin,Golden-crowned Kinglet,Regulus satrapa,L6226126,Clay Pit Area and Road,2019-09-04 10:45,6.0,47.5298545,-122.0962885,True,False,False,S59519290
bewwre,Bewick's Wren,Thryomanes bewickii,L6226126,Clay Pit Area and Road,2019-09-04 10:45,2.0,47.5298545,-122.0962885,True,False,False,S59519290
amepip,American Pipit,Anthus rubescens,L6226126,Clay Pit Area and Road,2019-09-04 10:45,16.0,47.5298545,-122.0962885,True,False,False,S59519290
amegfi,American Goldfinch,Spinus tristis,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
daejun,Dark-eyed Junco,Junco hyemalis,L6226126,Clay Pit Area and Road,2019-09-04 10:45,18.0,47.5298545,-122.0962885,True,False,False,S59519290
sonspa,Song Sparrow,Melospiza melodia,L6226126,Clay Pit Area and Road,2019-09-04 10:45,5.0,47.5298545,-122.0962885,True,False,False,S59519290
spotow,Spotted Towhee,Pipilo maculatus,L6226126,Clay Pit Area and Road,2019-09-04 10:45,2.0,47.5298545,-122.0962885,True,False,False,S59519290
orcwar,Orange-crowned Warbler,Leiothlypis celata,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
btywar,Black-throated Gray Warbler,Setophaga nigrescens,L6226126,Clay Pit Area and Road,2019-09-04 10:45,1.0,47.5298545,-122.0962885,True,False,False,S59519290
towwar,Townsend's Warbler,Setophaga townsendi,L6226126,Clay Pit Area and Road,2019-09-04 10:45,2.0,47.5298545,-122.0962885,True,False,False,S59519290
baleag,Bald Eagle,Haliaeetus leucocephalus,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,1.0,47.5213742,-122.0832539,True,False,False,S53613214
haiwoo,Hairy Woodpecker,Dryobates villosus,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,6.0,47.5213742,-122.0832539,True,False,False,S53613214
amecro,American Crow,Corvus brachyrhynchos,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,1.0,47.5213742,-122.0832539,True,False,False,S53613214
comrav,Common Raven,Corvus corax,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,1.0,47.5213742,-122.0832539,True,False,False,S53613214
bkcchi,Black-capped Chickadee,Poecile atricapillus,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,1.0,47.5213742,-122.0832539,True,False,False,S53613214
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,10.0,47.5213742,-122.0832539,True,False,False,S53613214
ruckin,Ruby-crowned Kinglet,Corthylio calendula,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,2.0,47.5213742,-122.0832539,True,False,False,S53613214
gockin,Golden-crowned Kinglet,Regulus satrapa,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,60.0,47.5213742,-122.0832539,True,False,False,S53613214
rebnut,Red-breasted Nuthatch,Sitta canadensis,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,1.0,47.5213742,-122.0832539,True,False,False,S53613214
brncre,Brown Creeper,Certhia americana,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,5.0,47.5213742,-122.0832539,True,False,False,S53613214
pacwre1,Pacific Wren,Troglodytes pacificus,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,35.0,47.5213742,-122.0832539,True,False,False,S53613214
varthr,Varied Thrush,Ixoreus naevius,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,8.0,47.5213742,-122.0832539,True,False,False,S53613214
amerob,American Robin,Turdus migratorius,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,6.0,47.5213742,-122.0832539,True,False,False,S53613214
daejun,Dark-eyed Junco,Junco hyemalis,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,10.0,47.5213742,-122.0832539,True,False,False,S53613214
sonspa,Song Sparrow,Melospiza melodia,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,4.0,47.5213742,-122.0832539,True,False,False,S53613214
spotow,Spotted Towhee,Pipilo maculatus,L450305,Cougar Mountain Regional Wildland Park,2019-03-08 11:46,2.0,47.5213742,-122.0832539,True,False,False,S53613214
brdowl,Barred Owl,Strix varia,L450305,Cougar Mountain Regional Wildland Park,2019-03-25 13:55,1.0,47.5213742,-122.0832539,True,False,False,S54381623
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L450305,Cougar Mountain Regional Wildland Park,2019-03-25 13:55,1.0,47.5213742,-122.0832539,True,False,False,S54381623
daejun,Dark-eyed Junco,Junco hyemalis,L450305,Cougar Mountain Regional Wildland Park,2019-03-25 13:55,4.0,47.5213742,-122.0832539,True,False,False,S54381623
spotow,Spotted Towhee,Pipilo maculatus,L450305,Cougar Mountain Regional Wildland Park,2019-03-25 13:55,1.0,47.5213742,-122.0832539,True,False,False,S54381623
haiwoo,Hairy Woodpecker,Dryobates villosus,L450305,Cougar Mountain Regional Wildland Park,2019-03-29 08:55,,47.5213742,-122.0832539,True,False,False,S73285243
pacwre1,Pacific Wren,Troglodytes pacificus,L450305,Cougar Mountain Regional Wildland Park,2019-03-29 08:55,,47.5213742,-122.0832539,True,False,False,S73285243
amerob,American Robin,Turdus migratorius,L450305,Cougar Mountain Regional Wildland Park,2019-03-29 08:55,,47.5213742,-122.0832539,True,False,False,S73285243
daejun,Dark-eyed Junco,Junco hyemalis,L450305,Cougar Mountain Regional Wildland Park,2019-03-29 08:55,,47.5213742,-122.0832539,True,False,False,S73285243
spotow,Spotted Towhee,Pipilo maculatus,L450305,Cougar Mountain Regional Wildland Park,2019-03-29 08:55,,47.5213742,-122.0832539,True,False,False,S73285243
buffle,Bufflehead,Bucephala albeola,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,2.0,47.5213742,-122.0832539,True,False,False,S54569331
batpig1,Band-tailed Pigeon,Patagioenas fasciata,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,1.0,47.5213742,-122.0832539,True,False,False,S54569331
rufhum,Rufous Hummingbird,Selasphorus rufus,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,4.0,47.5213742,-122.0832539,True,False,False,S54569331
rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,1.0,47.5213742,-122.0832539,True,False,False,S54569331
haiwoo,Hairy Woodpecker,Dryobates villosus,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,1.0,47.5213742,-122.0832539,True,False,False,S54569331
stejay,Steller's Jay,Cyanocitta stelleri,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,2.0,47.5213742,-122.0832539,True,False,False,S54569331
amecro,American Crow,Corvus brachyrhynchos,L450305,Cougar Mountain Regional Wildland Park,2019-04-04 16:15,4.0,47.5213742,-122.0832539,True,False,False,S54569331
