speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
merlin,Merlin,Falco columbarius,L1034830,Lake Flora Road (Kitsap Co.),2019-12-22 11:11,1,47.4739392,-122.688961,True,False,False,S62534982
comrav,Common Raven,Corvus corax,L1034830,Lake Flora Road (Kitsap Co.),2019-12-22 11:11,2,47.4739392,-122.688961,True,False,False,S62534982
buffle,Bufflehead,Bucephala albeola,L6448904,McCormick Woods Trail,2019-01-07 10:30,10,47.502272,-122.6935959,True,False,False,S51803204
belkin1,Belted Kingfisher,Megaceryle alcyon,L6448904,McCormick Woods Trail,2019-01-07 10:30,1,47.502272,-122.6935959,True,False,False,S51803204
rinduc,Ring-necked Duck,Aythya collaris,L6448904,McCormick Woods Trail,2020-04-12 14:58,9,47.502272,-122.6935959,True,False,False,S67109214
buffle,Bufflehead,Bucephala albeola,L6448904,McCormick Woods Trail,2020-04-12 14:58,24,47.502272,-122.6935959,True,False,False,S67109214
hoomer,Hooded Merganser,Lophodytes cucullatus,L6448904,McCormick Woods Trail,2020-04-12 14:58,2,47.502272,-122.6935959,True,False,False,S67109214
norfli,Northern Flicker,Colaptes auratus,L6448904,McCormick Woods Trail,2020-04-12 14:58,1,47.502272,-122.6935959,True,False,False,S67109214
treswa,Tree Swallow,Tachycineta bicolor,L6448904,McCormick Woods Trail,2020-04-12 14:58,3,47.502272,-122.6935959,True,False,False,S67109214
vigswa,Violet-green Swallow,Tachycineta thalassina,L6448904,McCormick Woods Trail,2020-04-12 14:58,12,47.502272,-122.6935959,True,False,False,S67109214
pacwre1,Pacific Wren,Troglodytes pacificus,L6448904,McCormick Woods Trail,2020-04-12 14:58,2,47.502272,-122.6935959,True,False,False,S67109214
amerob,American Robin,Turdus migratorius,L6448904,McCormick Woods Trail,2020-04-12 14:58,1,47.502272,-122.6935959,True,False,False,S67109214
daejun,Dark-eyed Junco,Junco hyemalis,L6448904,McCormick Woods Trail,2020-04-12 14:58,2,47.502272,-122.6935959,True,False,False,S67109214
spotow,Spotted Towhee,Pipilo maculatus,L6448904,McCormick Woods Trail,2020-04-12 14:58,1,47.502272,-122.6935959,True,False,False,S67109214
cangoo,Canada Goose,Branta canadensis,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
wooduc,Wood Duck,Aix sponsa,L6448904,McCormick Woods Trail,2020-04-16 15:26,4,47.502272,-122.6935959,True,False,False,S67331427
rinduc,Ring-necked Duck,Aythya collaris,L6448904,McCormick Woods Trail,2020-04-16 15:26,4,47.502272,-122.6935959,True,False,False,S67331427
buffle,Bufflehead,Bucephala albeola,L6448904,McCormick Woods Trail,2020-04-16 15:26,17,47.502272,-122.6935959,True,False,False,S67331427
hoomer,Hooded Merganser,Lophodytes cucullatus,L6448904,McCormick Woods Trail,2020-04-16 15:26,2,47.502272,-122.6935959,True,False,False,S67331427
annhum,Anna's Hummingbird,Calypte anna,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
baleag,Bald Eagle,Haliaeetus leucocephalus,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
belkin1,Belted Kingfisher,Megaceryle alcyon,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
rebnut,Red-breasted Nuthatch,Sitta canadensis,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
amerob,American Robin,Turdus migratorius,L6448904,McCormick Woods Trail,2020-04-16 15:26,1,47.502272,-122.6935959,True,False,False,S67331427
daejun,Dark-eyed Junco,Junco hyemalis,L6448904,McCormick Woods Trail,2020-04-16 15:26,7,47.502272,-122.6935959,True,False,False,S67331427
spotow,Spotted Towhee,Pipilo maculatus,L6448904,McCormick Woods Trail,2020-04-16 15:26,2,47.502272,-122.6935959,True,False,False,S67331427
comyel,Common Yellowthroat,Geothlypis trichas,L6448904,McCormick Woods Trail,2020-04-16 15:26,2,47.502272,-122.6935959,True,False,False,S67331427
wooduc,Wood Duck,Aix sponsa,L6448904,McCormick Woods Trail,2020-04-24 16:47,2,47.502272,-122.6935959,True,False,False,S67754296
batpig1,Band-tailed Pigeon,Patagioenas fasciata,L6448904,McCormick Woods Trail,2020-04-24 16:47,1,47.502272,-122.6935959,True,False,False,S67754296
annhum,Anna's Hummingbird,Calypte anna,L6448904,McCormick Woods Trail,2020-04-24 16:47,1,47.502272,-122.6935959,True,False,False,S67754296
osprey,Osprey,Pandion haliaetus,L6448904,McCormick Woods Trail,2020-04-24 16:47,2,47.502272,-122.6935959,True,False,False,S67754296
chbchi,Chestnut-backed Chickadee,Poecile rufescens,L6448904,McCormick Woods Trail,2020-04-24 16:47,4,47.502272,-122.6935959,True,False,False,S67754296
pacwre1,Pacific Wren,Troglodytes pacificus,L6448904,McCormick Woods Trail,2020-04-24 16:47,1,47.502272,-122.6935959,True,False,False,S67754296
amerob,American Robin,Turdus migratorius,L6448904,McCormick Woods Trail,2020-04-24 16:47,9,47.502272,-122.6935959,True,False,False,S67754296
daejun,Dark-eyed Junco,Junco hyemalis,L6448904,McCormick Woods Trail,2020-04-24 16:47,8,47.502272,-122.6935959,True,False,False,S67754296
spotow,Spotted Towhee,Pipilo maculatus,L6448904,McCormick Woods Trail,2020-04-24 16:47,1,47.502272,-122.6935959,True,False,False,S67754296
batpig1,Band-tailed Pigeon,Patagioenas fasciata,L6448904,McCormick Woods Trail,2020-07-16 10:00,5,47.502272,-122.6935959,True,False,False,S71637144
annhum,Anna's Hummingbird,Calypte anna,L6448904,McCormick Woods Trail,2020-07-16 10:00,2,47.502272,-122.6935959,True,False,False,S71637144
rufhum,Rufous Hummingbird,Selasphorus rufus,L6448904,McCormick Woods Trail,2020-07-16 10:00,2,47.502272,-122.6935959,True,False,False,S71637144
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L6448904,McCormick Woods Trail,2020-07-16 10:00,1,47.502272,-122.6935959,True,False,False,S71637144
stejay,Steller's Jay,Cyanocitta stelleri,L6448904,McCormick Woods Trail,2020-07-16 10:00,2,47.502272,-122.6935959,True,False,False,S71637144
daejun,Dark-eyed Junco,Junco hyemalis,L6448904,McCormick Woods Trail,2020-07-16 10:00,4,47.502272,-122.6935959,True,False,False,S71637144
mallar3,Mallard,Anas platyrhynchos,L4703260,Square Lake State Park,2019-05-18 13:41,24,47.4802697,-122.6844388,True,False,False,S56463431
killde,Killdeer,Charadrius vociferus,L4703260,Square Lake State Park,2019-05-18 13:41,5,47.4802697,-122.6844388,True,False,False,S56463431
grbher3,Great Blue Heron,Ardea herodias,L4703260,Square Lake State Park,2019-05-18 13:41,1,47.4802697,-122.6844388,True,False,False,S56463431
vigswa,Violet-green Swallow,Tachycineta thalassina,L4703260,Square Lake State Park,2019-05-18 13:41,4,47.4802697,-122.6844388,True,False,False,S56463431
