locId,locName,countryCode,subnational1Code,subnational2Code,lat,lng,latestObsDt,numSpeciesAllTime,StopName
L10128988,Berntsen Park,US,US-WA,US-WA-033,47.538439,-122.043281,2021-12-15 11:46,15.0,EastSunsetWay
L10129014,"Confluence Park, Issaquah",US,US-WA,US-WA-033,47.536469,-122.039342,2022-01-08 12:54,44.0,EastSunsetWay
L8365620,Issaquah High School,US,US-WA,US-WA-033,47.52249,-122.028687,2022-01-25 08:00,58.0,EastSunsetWay
L8102503,Issaquah Salmon Hatchery,US,US-WA,US-WA-033,47.5295029,-122.039512,2022-01-21 14:43,35.0,EastSunsetWay
L3352189,"Maple Street ponds, Issaquah",US,US-WA,US-WA-033,47.5430274,-122.0537147,2021-11-30 10:12,46.0,EastSunsetWay
L4920968,Pickering Place Pond,US,US-WA,US-WA-033,47.5481099,-122.0524621,2022-01-08 16:02,69.0,EastSunsetWay
L11570424,Pickering Place trails,US,US-WA,US-WA-033,47.5501004,-122.0494397,2021-08-31 15:56,51.0,EastSunsetWay
L10129002,Salmon Run Nature Park,US,US-WA,US-WA-033,47.539272,-122.043434,2021-12-18 09:02,18.0,EastSunsetWay
L854460,Squak Mountain SP,US,US-WA,US-WA-033,47.5103021,-122.04772,2022-01-16 15:31,72.0,EastSunsetWay
L1167737,Tibbets Valley Park,US,US-WA,US-WA-033,47.5393396,-122.0610656,2021-12-18 11:57,45.0,EastSunsetWay
L8312096,Tiger Mountain State Forest--Poo Poo Point Trail,US,US-WA,US-WA-033,47.5006381,-122.0212617,2022-01-20 09:00,59.0,EastSunsetWay
L12172834,Tiger Mountain--West Tiger #3 summit,US,US-WA,US-WA-033,47.511828,-121.990397,2022-01-09 06:19,29.0,EastSunsetWay
L424117,Tradition Plateau,US,US-WA,US-WA-033,47.5294956,-121.9962054,2022-01-16 14:00,104.0,EastSunsetWay
L3438602,"stakeout Brambling Mt. Fury Circle SW, Issaquah (2015)",US,US-WA,US-WA-033,47.5257183,-122.0479976,2020-07-29 13:03,45.0,EastSunsetWay
L10128988,Berntsen Park,US,US-WA,US-WA-033,47.538439,-122.043281,2021-12-15 11:46,15.0,HighSchool
L10129014,"Confluence Park, Issaquah",US,US-WA,US-WA-033,47.536469,-122.039342,2022-01-08 12:54,44.0,HighSchool
L8365620,Issaquah High School,US,US-WA,US-WA-033,47.52249,-122.028687,2022-01-25 08:00,58.0,HighSchool
L8102503,Issaquah Salmon Hatchery,US,US-WA,US-WA-033,47.5295029,-122.039512,2022-01-21 14:43,35.0,HighSchool
L3352189,"Maple Street ponds, Issaquah",US,US-WA,US-WA-033,47.5430274,-122.0537147,2021-11-30 10:12,46.0,HighSchool
L4920968,Pickering Place Pond,US,US-WA,US-WA-033,47.5481099,-122.0524621,2022-01-08 16:02,69.0,HighSchool
